S_no,runNumber,eventNumber,channelNumber,mcWeight,pvxp_n,vxp_z,ScaleFactor_PILEUP,ScaleFactor_ELE,scaleFactor_MUON,scaleFactor_BTAG,scaleFactor_TRIGGER,scaleFactor_JVFSF,scaleFactor_ZVERTEX,trigE,trigM,passGRL,hasGoodVertex,lep_n,met_et,met_phi,jet_n,alljet_n
80,195847,25185,105986,1,8,105.43288,2.0969262,1,0.9967776,0.99603206,1.1207215,1,0.3573509,0,10,10,10,1,44727.812,1.0130032,2,2
81,195847,25186,105986,1,9,81.12944,2.0969262,1,0.9988692,0.9982651,1.054818,1,0.59425586,0,10,10,10,2,4064.3555,-1.876538,1,1
82,195847,25189,105986,1,9,-102.052475,2.0969262,0.91065246,1,0.9956587,0.9997455,1,0.57198805,10,0,10,10,2,20780.168,1.4941515,2,2
83,195847,25191,105986,1,11,-109.15313,2.0969262,0.95747644,1,1,0.9702048,1,0.49801672,10,0,10,10,1,27539.096,-0.97944725,0,0
84,195847,25192,105986,1,10,-69.93496,1.9107343,0.90737885,1,0.99597573,0.9998814,1,0.94832295,10,0,10,10,2,9827.824,2.9163098,2,2
85,195847,25193,105986,1,8,-66.5216,1.9107343,1,0.99874943,0.9979192,0.99116945,1,0.9827019,0,10,10,10,1,32808.484,-2.1084204,1,1
86,195847,25194,105986,1,12,-8.889394,1.9107343,0.91820985,1,1,0.99255514,1,1.3670225,10,0,10,10,2,47327.566,-2.9705713,0,0
87,195847,25195,105986,1,8,-93.85971,1.9107343,0.9184806,1,0.99815714,0.9995321,1,0.6670481,10,0,10,10,2,3923.9055,-0.7529644,1,1
88,195847,25196,105986,1,13,64.538956,1.9107343,0.9153487,1,0.9941462,0.99968654,1,0.7837882,10,0,10,10,2,63279.793,3.038547,3,4
89,195847,25198,105986,1,12,117.79441,1.9107343,0.885327,1,0.9978741,0.99999994,1,0.25960383,10,0,10,10,2,34391.58,2.6911302,1,1
90,195847,25201,105986,1,8,-110.544586,1.9107343,1,1.0023396,1.0508018,1.005477,1,0.48276463,0,10,10,10,2,35926,2.7667196,2,2
91,195847,25203,105986,1,12,-28.069817,1.9107343,0.99123824,1,1.0265521,0.99976087,1,1.3196601,10,0,10,10,2,16776.127,2.6143658,1,1
92,195847,25207,105986,1,7,-44.03387,1.9107343,0.86341304,1,1,0.9999799,1,1.2149794,10,0,10,10,2,49193.992,1.5382737,0,0
93,195847,25213,105986,1,12,30.897371,1.9107343,0.9507485,1,0.9119539,0.99845,1,1.1613595,10,0,10,10,1,41337.97,2.1708245,3,3
94,195847,25214,105986,1,12,-11.456789,1.9107343,1,1.0001199,0.9966463,1.0247796,1,1.3666861,0,10,10,10,2,34894.35,-1.423212,2,2
95,195847,25216,105986,1,11,40.722633,1.9107343,1,0.99775004,0.9952746,0.79671323,1,1.0601194,0,10,10,10,1,23463.154,-1.8592942,2,2
96,195847,25217,105986,1,8,111.12322,1.9107343,0.89573497,1,0.9960057,0.9979488,1,0.30809233,10,0,10,10,2,17177.156,-1.9116347,2,2
97,195847,25219,105986,1,7,-35.472523,1.9107343,1.0167623,1,0.9979686,0.97411174,1,1.2756196,10,0,10,10,1,1508.9978,2.1026251,1,1
98,195847,25221,105986,1,15,-103.41678,1.9107343,0.92644095,0.99703145,1,1.000113,1,0.56115615,10,10,10,10,4,22134.014,2.8678071,0,0
